KC,-9.5,HOU
MIN,-2.5,GB
DET,-3.5,CHI
IND,-7.5,JAC
LV,-3.5,CAR
BUF,-6.5,NYJ
SEA,-2.5,ATL
PHI,-6.5,WAS
NE,-6.5,MIA
BAL,-8.5,CLE
LAC,-3.5,CIN
NO,-3.5,TB
SF,-7.5,ARZ
DAL,-3.5,LAR
PIT,-5.5,NYG
TEN,-1.5,DEN
